"Combined unit of measure: Kilogrammes of CO2-equivalent per person, Thousands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Time period,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Australia,,25.67,25.34,25.27,25.08,24.86,25.05,25.11,25.5,26.01,26.05,26.36,26.43,26.32,25.95,26.53,26.54,26.41,26.25,25.84,25.45,24.84,24.58,24.29,23.51,22.81,22.85,22.83,22.75,22.45,21.89,20.89,20.54
Austria,,10.3,10.67,9.71,9.68,9.67,10.06,10.44,10.38,10.28,10.07,10.06,10.51,10.67,11.29,11.19,11.26,10.9,10.53,10.43,9.61,10.13,9.84,9.47,9.46,8.97,9.14,9.13,9.34,8.92,9.01,8.29,8.66
Belgium,,14.63,14.85,14.74,14.57,14.97,15.15,15.48,14.62,15.09,14.45,14.52,14.32,14.27,14.24,14.25,13.88,13.53,13.09,12.98,11.71,12.27,11.21,10.88,10.83,10.28,10.59,10.4,10.3,10.31,10.16,9.32,9.6
Canada,,21.26,20.76,21.12,20.98,21.45,21.81,22.32,22.62,22.63,22.84,23.45,22.89,22.82,23.2,23.07,22.71,22.27,22.75,21.98,20.5,20.64,20.71,20.64,20.61,20.32,20.25,19.52,19.49,19.55,19.25,17.32,17.53
Chile,,3.7,3.51,3.57,3.71,3.85,4.01,4.34,4.72,4.73,4.87,4.66,4.51,4.53,4.55,4.85,4.87,4.94,5.45,5.4,5.15,5.1,5.54,5.79,5.7,5.44,5.73,5.92,5.86,5.84,5.81,5.42,
Colombia,,2.99,3,3.08,3.08,3.07,3.08,3.08,3.19,3.14,2.97,2.99,2.93,2.91,2.98,3.01,3.09,3.15,3.17,3.15,3.24,3.41,3.35,3.39,3.45,3.48,3.54,3.6,3.47,3.63,,,
Costa Rica,,2.71,2.6,2.77,2.74,2.89,2.83,2.72,2.57,2.65,2.63,2.57,2.6,2.61,2.67,2.63,2.66,2.76,2.92,2.89,2.8,2.84,2.89,2.88,2.91,2.9,2.82,2.91,2.93,,,,
Czechia,,19.18,17.54,16.96,16.29,15.42,15.33,15.68,15.26,14.67,13.72,14.71,14.75,14.41,14.72,14.79,14.55,14.63,14.71,14.07,13.08,13.33,13.2,12.81,12.3,12.07,12.19,12.31,12.37,12.16,11.57,10.57,11.27
Denmark,,13.97,15.99,14.8,15.16,15.87,15.25,17.66,15.79,14.99,14.44,13.61,13.89,13.75,14.67,13.53,12.69,14.08,13.17,12.44,11.88,11.88,10.9,10.03,10.3,9.51,8.95,9.24,8.81,8.76,8.07,7.64,7.78
Estonia,,25.67,23.96,17.75,14.56,15.2,13.97,14.84,14.8,13.7,12.96,12.49,12.89,12.54,14.03,14.21,14.13,13.73,16.44,14.91,12.37,15.86,15.88,15.09,16.59,16.01,13.67,14.9,15.86,15.15,10.96,8.58,9.48
Finland,,14.26,13.77,13.42,13.8,14.84,14.05,15.17,14.87,14.11,13.95,13.55,14.55,14.98,16.4,15.63,13.29,15.4,15.02,13.42,12.68,14.09,12.59,11.5,11.53,10.71,10.04,10.52,9.99,10.14,9.55,8.64,8.63
