"Combined unit of measure: Kilogrammes of CO2-equivalent per 1 000 US dollars, Thousands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Time period,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Australia,,0.86,0.86,0.83,0.8,0.77,0.76,0.74,0.72,0.71,0.69,0.69,0.68,0.66,0.63,0.64,0.63,0.61,0.59,0.59,0.58,0.56,0.54,0.53,0.51,0.49,0.48,0.48,0.47,0.46,0.46,0.43,0.41
Austria,,0.29,0.29,0.27,0.27,0.26,0.26,0.27,0.26,0.25,0.24,0.23,0.24,0.24,0.25,0.24,0.24,0.23,0.21,0.21,0.2,0.21,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17
Belgium,,0.44,0.44,0.43,0.43,0.43,0.43,0.43,0.4,0.4,0.37,0.36,0.35,0.35,0.35,0.34,0.32,0.31,0.29,0.29,0.27,0.27,0.25,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.21,0.2,0.2
Canada,,0.65,0.66,0.67,0.66,0.65,0.65,0.66,0.65,0.63,0.61,0.6,0.59,0.57,0.58,0.56,0.54,0.52,0.53,0.51,0.5,0.49,0.48,0.48,0.47,0.45,0.45,0.44,0.43,0.42,0.42,0.4,0.39
Chile,,0.42,0.38,0.35,0.35,0.35,0.33,0.34,0.35,0.34,0.35,0.33,0.31,0.3,0.29,0.3,0.29,0.28,0.29,0.28,0.27,0.26,0.27,0.27,0.26,0.24,0.25,0.26,0.26,0.25,0.25,0.26,
Colombia,,0.39,0.39,0.4,0.38,0.37,0.35,0.35,0.36,0.36,0.36,0.36,0.35,0.34,0.34,0.33,0.33,0.32,0.31,0.3,0.31,0.31,0.29,0.29,0.28,0.27,0.27,0.28,0.26,0.27,,,
Costa Rica,,0.29,0.28,0.28,0.26,0.27,0.26,0.25,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,,,,
Czechia,,0.87,0.9,0.87,0.84,0.77,0.72,0.7,0.69,0.66,0.61,0.63,0.61,0.58,0.58,0.55,0.51,0.48,0.46,0.44,0.43,0.43,0.41,0.41,0.39,0.37,0.36,0.35,0.34,0.32,0.3,0.29,0.3
Denmark,,0.39,0.44,0.4,0.41,0.41,0.38,0.43,0.38,0.35,0.33,0.3,0.3,0.3,0.32,0.29,0.27,0.28,0.26,0.25,0.26,0.25,0.23,0.21,0.22,0.2,0.18,0.18,0.17,0.17,0.15,0.15,0.14
Estonia,,..,1.77,1.38,1.3,1.35,1.17,1.16,1.02,0.89,0.84,0.75,0.72,0.66,0.68,0.64,0.58,0.51,0.56,0.54,0.52,0.65,0.6,0.55,0.6,0.56,0.47,0.5,0.5,0.46,0.32,0.25,0.26
Finland,,0.46,0.47,0.48,0.5,0.52,0.47,0.49,0.46,0.41,0.39,0.36,0.38,0.38,0.41,0.38,0.31,0.35,0.33,0.29,0.3,0.33,0.29,0.27,0.27,0.25,0.24,0.24,0.22,0.22,0.21,0.19,0.19
France,,0.29,0.3,0.29,0.28,0.27,0.27,0.28,0.27,0.26,0.25,0.24,0.24,0.23,0.23,0.23,0.22,0.21,0.21,0.2,0.2,0.2,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.15,0.15,0.15
Germany,,0.46,0.42,0.4,0.4,0.38,0.37,0.38,0.36,0.34,0.33,0.32,0.32,0.31,0.31,0.3,0.29,0.28,0.27,0.27,0.26,0.26,0.24,0.24,0.25,0.23,0.23,0.23,0.22,0.21,0.19,0.18,0.18
Greece,,0.44,0.43,0.43,0.44,0.44,0.44,0.44,0.44,0.44,0.43,0.42,0.41,0.4,0.39,0.37,0.38,0.35,0.35,0.34,0.33,0.34,0.36,0.38,0.36,0.34,0.33,0.32,0.33,0.31,0.29,0.27,0.26
Hungary,,0.55,0.53,0.49,0.5,0.48,0.46,0.48,0.45,0.43,0.42,0.39,0.38,0.36,0.36,0.34,0.32,0.3,0.3,0.29,0.28,0.28,0.27,0.26,0.24,0.23,0.24,0.23,0.23,0.22,0.21,0.21,0.2
Iceland,,0.44,0.42,0.42,0.43,0.4,0.42,0.41,0.4,0.39,0.39,0.38,0.35,0.36,0.35,0.33,0.3,0.32,0.32,0.33,0.34,0.34,0.32,0.32,0.31,0.3,0.29,0.27,0.27,0.26,0.24,0.25,0.25
Ireland,,0.61,0.61,0.59,0.58,0.56,0.53,0.51,0.47,0.45,0.41,0.39,0.38,0.35,0.34,0.32,0.31,0.29,0.27,0.28,0.27,0.27,0.25,0.25,0.25,0.23,0.19,0.19,0.18,0.16,0.15,0.13,0.12
Israel,,,,,,,,0.38,,,,0.37,,,0.37,0.36,0.35,0.33,0.33,0.33,0.31,0.3,0.3,0.31,0.28,0.26,0.26,0.25,0.24,0.23,0.22,0.22,
Italy,,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.26,0.25,0.25,0.24,0.24,0.24,0.22,0.23,0.22,0.22,0.21,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.18
Japan,,0.31,0.3,0.3,0.3,0.31,0.31,0.3,0.3,0.29,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.27,0.28,0.28,0.26,0.25,0.25,0.24,0.23,0.23,0.22,0.23
Korea,,0.55,0.54,0.55,0.57,0.55,0.54,0.55,0.55,0.5,0.49,0.48,0.47,0.45,0.45,0.43,0.42,0.4,0.39,0.38,0.38,0.39,0.4,0.39,0.38,0.37,0.36,0.35,0.35,0.34,0.32,0.31,
Latvia,,..,0.74,0.63,0.61,0.61,0.56,0.55,0.48,0.44,0.4,0.35,0.35,0.33,0.31,0.28,0.26,0.24,0.23,0.23,0.25,0.28,0.26,0.24,0.23,0.23,0.22,0.21,0.21,0.21,0.2,0.19,0.19
Lithuania,,..,,,,,0.62,0.62,0.56,0.54,0.48,0.43,0.42,0.4,0.36,0.35,0.34,0.32,0.32,0.3,0.29,0.3,0.29,0.28,0.25,0.24,0.24,0.24,0.23,0.21,0.21,0.21,0.2
Luxembourg,,0.49,0.48,0.46,0.45,0.4,0.32,0.32,0.28,0.24,0.23,0.23,0.24,0.25,0.25,0.27,0.27,0.25,0.22,0.22,0.22,0.22,0.22,0.21,0.19,0.18,0.17,0.16,0.16,0.16,0.16,0.13,0.13
Mexico,,0.4,0.39,0.38,0.37,0.37,0.39,0.38,0.38,0.37,0.36,0.35,0.35,0.37,0.36,0.36,0.36,0.35,0.36,0.38,0.39,0.37,0.37,0.35,0.35,0.34,0.33,0.34,0.32,0.32,0.31,,
Netherlands,,0.43,0.43,0.43,0.42,0.41,0.4,0.4,0.37,0.36,0.32,0.31,0.3,0.3,0.3,0.29,0.28,0.26,0.25,0.25,0.25,0.26,0.24,0.24,0.24,0.22,0.23,0.22,0.21,0.2,0.19,0.18,0.18
New Zealand,,0.77,0.8,0.8,0.75,0.72,0.7,0.7,0.7,0.68,0.66,0.66,0.66,0.63,0.62,0.6,0.59,0.58,0.54,0.55,0.52,0.52,0.51,0.51,0.49,0.48,0.46,0.43,0.42,0.41,0.4,0.39,0.37
Norway,,0.3,0.27,0.26,0.26,0.26,0.25,0.25,0.24,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.2,0.19,0.19,0.19,0.18,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.16,0.16,0.15,0.15,0.14
Poland,,1.14,1.2,1.14,1.09,1.03,0.96,0.94,0.86,0.76,0.71,0.66,0.65,0.62,0.62,0.59,0.57,0.56,0.52,0.49,0.46,0.47,0.44,0.43,0.42,0.39,0.38,0.38,0.37,0.35,0.32,0.31,0.31
Portugal,,0.27,0.26,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.29,0.28,0.27,0.28,0.27,0.27,0.28,0.26,0.24,0.24,0.23,0.22,0.22,0.22,0.21,0.21,0.22,0.21,0.22,0.2,0.19,0.18,0.17
Slovak Republic,,0.45,0.4,0.91,0.84,0.75,0.72,0.67,0.63,0.6,0.58,0.56,0.56,0.52,0.5,0.48,0.45,0.41,0.36,0.34,0.33,0.32,0.3,0.28,0.28,0.26,0.25,0.25,0.25,0.24,0.22,0.21,0.23
Slovenia,,0.46,0.47,0.49,0.48,0.47,0.47,0.47,0.46,0.44,0.4,0.38,0.4,0.39,0.37,0.36,0.35,0.34,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.26,0.26,0.26,0.25,0.24,0.23,0.22,0.2
Spain,,0.29,0.29,0.29,0.29,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.29,0.28,0.28,0.28,0.27,0.27,0.24,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.19,0.19,0.19,0.17,0.17,0.17
Sweden,,0.25,0.26,0.26,0.26,0.26,0.25,0.26,0.24,0.23,0.21,0.2,0.2,0.19,0.19,0.18,0.17,0.16,0.15,0.15,0.14,0.15,0.13,0.13,0.12,0.12,0.11,0.11,0.1,0.1,0.1,0.09,0.09
Switzerland,,0.15,0.16,0.16,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08
Türkiye,,0.33,0.33,0.32,0.31,0.32,0.31,0.32,0.31,0.3,0.31,0.31,0.31,0.29,0.3,0.28,0.27,0.27,0.28,0.28,0.3,0.28,0.27,0.27,0.24,0.24,0.23,0.24,0.24,0.23,0.22,0.22,0.21
United Kingdom,,0.47,0.48,0.47,0.45,0.42,0.41,0.41,0.38,0.37,0.35,0.33,0.33,0.31,0.3,0.3,0.28,0.28,0.26,0.26,0.25,0.24,0.22,0.23,0.22,0.2,0.19,0.17,0.16,0.16,0.15,0.15,0.15
United States,,0.66,0.65,0.64,0.64,0.62,0.61,0.61,0.59,0.56,0.54,0.54,0.52,0.52,0.51,0.5,0.48,0.46,0.46,0.45,0.43,0.43,0.42,0.39,0.39,0.39,0.37,0.36,0.35,0.35,0.33,0.31,0.31
European Union (28 countries),,,0.42,0.41,0.4,0.39,0.38,0.38,0.36,0.35,0.33,0.32,0.32,0.31,0.31,0.3,0.29,0.28,0.27,0.26,0.26,0.26,0.24,0.24,0.24,0.22,0.22,0.21,0.21,0.2,0.19,,
European Union (27 countries from 01/02/2020),,..,0.41,0.4,0.39,0.38,0.38,0.38,0.36,0.35,0.33,0.32,0.32,0.31,0.31,0.3,0.3,0.29,0.27,0.27,0.26,0.26,0.25,0.24,0.24,0.23,0.22,0.22,0.21,0.21,0.19,0.19,0.19
OECD,,0.49,0.48,0.47,0.47,0.46,0.46,0.45,0.44,0.43,0.41,0.41,0.4,0.39,0.39,0.38,0.37,0.36,0.35,0.34,0.34,0.34,0.33,0.32,0.32,0.31,0.3,0.29,0.28,0.28,0.26,0.26,0.25
OECD America,,0.63,0.62,0.61,0.6,0.59,0.58,0.58,0.56,0.54,0.52,0.52,0.5,0.5,0.49,0.48,0.47,0.45,0.45,0.44,0.42,0.42,0.41,0.39,0.39,0.38,0.37,0.36,0.35,0.35,0.33,0.32,0.31
OECD Asia Oceania,,0.4,0.39,0.39,0.39,0.4,0.39,0.39,0.39,0.37,0.38,0.37,0.37,0.37,0.36,0.36,0.35,0.34,0.34,0.33,0.33,0.33,0.34,0.34,0.33,0.32,0.31,0.3,0.3,0.29,0.28,0.28,0.27
OECD Europe,,0.41,0.4,0.39,0.38,0.37,0.36,0.36,0.35,0.33,0.32,0.31,0.31,0.3,0.3,0.29,0.28,0.27,0.26,0.26,0.25,0.25,0.24,0.24,0.23,0.22,0.21,0.21,0.2,0.2,0.19,0.18,0.18
