"Combined unit of measure: Tonnes of CO2-equivalent, Thousands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,"438,056.76","438,049.29","441,752.18","442,282.48","442,610.56","451,076.46","457,574.99","469,835.69","484,037.12","489,971.16","501,588.99","509,456.08","513,171.01","511,714.21","528,827.43","535,589.76","540,017.78","546,739.52","549,128.82","552,127.35","547,172.76","549,007.35","552,305.55","543,798.68","535,451.44","544,231.81","552,354.83","559,581.11","560,827.41","555,244.93","536,739.72","528,631.65"
Austria,,"79,047.23","82,711.16","76,142.81","76,517.86","76,725.97","79,953.24","83,112.93","82,719.63","82,012.90","80,455.15","80,619.36","84,514.05","86,267.54","91,636.30","91,427.90","92,588.58","90,158.67","87,377.95","86,770.82","80,137.03","84,693.29","82,505.76","79,788.32","80,228.52","76,662.66","78,884.46","79,821.26","82,132.49","78,854.37","79,994.14","73,910.84","77,532.35"
Belgium,,"145,844.47","148,579.58","148,077.75","146,896.93","151,445.45","153,579.82","157,227.95","148,820.67","154,012.89","147,732.82","148,877.33","147,319.08","147,415.07","147,731.49","148,523.92","145,418.35","142,715.60","139,090.79","139,030.91","126,438.52","133,644.30","123,192.99","120,443.61","120,523.72","114,878.85","118,990.38","117,419.57","116,909.24","117,584.92","116,463.71","107,272.65","110,951.73"
Canada,,"588,602.82","582,031.22","599,242.66","601,743.65","621,934.13","639,070.29","660,767.80","676,394.22","682,434.83","694,516.94","719,463.71","710,171.84","715,489.77","734,140.55","736,725.46","732,220.09","725,289.22","748,070.09","730,801.24","689,549.32","701,867.55","711,312.82","716,370.50","723,096.30","720,195.46","722,918.27","704,927.87","712,233.80","724,615.78","723,679.29","658,788.39","670,428.30"
Chile,,"48,818.66","47,107.51","49,071.29","51,773.06","54,516.64","57,660.90","63,314.63","69,817.16","70,882.57","73,877.95","71,498.72","69,957.33","71,151.20","72,184.53","77,731.88","78,763.60","80,679.04","89,995.75","90,161.33","86,931.96","86,969.65","95,615.73","101,067.24","100,438.19","96,796.60","103,039.02","107,545.47","108,024.61","109,460.81","111,026.60","105,551.91",
Colombia,,"101,878.75","104,424.76","109,571.27","111,662.29","113,044.86","115,599.56","117,221.56","123,168.80","123,130.08","117,878.85","120,643.72","119,766.76","120,091.27","124,665.55","127,551.86","132,469.34","136,731.40","139,037.59","140,123.04","145,672.90","155,060.42","154,098.61","157,725.86","162,655.74","165,839.29","170,637.07","175,628.86","171,035.50","180,727.24",,,
Costa Rica,,"8,196.56","8,056.64","8,797.32","8,892.50","9,622.28","9,693.60","9,562.84","9,272.53","9,811.83","9,951.70","9,945.75","10,292.00","10,518.51","10,892.97","10,924.16","11,196.01","11,817.56","12,678.70","12,709.38","12,534.57","12,895.96","13,284.87","13,405.56","13,735.74","13,850.14","13,603.64","14,234.46","14,477.60",,,,
Czechia,,"198,775.27","180,859.67","175,034.85","168,323.67","159,410.64","158,371.95","161,709.65","157,200.37","151,034.59","141,062.01","151,139.21","150,760.15","146,965.75","150,152.89","151,009.99","148,934.99","150,166.77","151,829.89","146,768.59","137,280.29","140,167.57","138,568.00","134,610.18","129,251.71","127,080.04","128,506.45","130,106.97","130,951.94","129,180.06","123,451.26","113,072.05","118,381.69"
Denmark,,"71,820.94","82,433.00","76,517.58","78,670.86","82,598.77","79,748.73","92,928.69","83,411.41","79,455.94","76,824.89","72,662.45","74,398.11","73,871.15","79,006.62","73,060.07","68,748.18","76,500.41","71,880.27","68,291.35","65,544.86","65,857.45","60,652.62","56,058.81","57,779.39","53,608.90","50,834.62","52,906.15","50,773.91","50,726.02","46,941.67","44,483.80","45,515.58"
Estonia,,"40,276.36","37,402.71","27,215.51","21,751.65","22,225.02","20,063.92","21,007.74","20,719.25","18,992.04","17,829.24","17,453.34","17,888.00","17,300.08","19,233.28","19,362.26","19,140.62","18,490.05","22,046.44","19,941.84","16,508.26","21,111.60","21,079.73","19,962.93","21,865.08","21,040.76","17,972.59","19,603.13","20,896.11","20,030.10","14,537.85","11,407.08","12,615.17"
